year,AGING ($ mil.),AGRICULTURE ($ mil.),CENTRAL MANAGEMENT ($ mil.),CHILDREN AND FAMILY SERVICES ($ mil.),COMMERCE AND ECONOMIC OPPORTUNITY ($ mil.),NATURAL RESOURCES ($ mil.),CORRECTION ($ mil.)S,EMPLOYMENT SECURITY ($ mil.),HUMAN SERVICES ($ mil.),HEALTHCARE & FAM SER NET OF MEDICAID ($ mil.),PUBLIC HEALTH ($ mil.),REVENUE ($ mil.),TRANSPORTATION ($ mil.),ENVIRONMENTAL PROTECT AGENCY ($ mil.),IL STATE TOLL HIGHWAY AUTH ($ mil.),IL COMMUNITY COLLEGE BOARD ($ mil.),IL STUDENT ASSISTANCE COMM ($ mil.),LEGISLATIVE ($ mil.),JUDICIAL ($ mil.),ELECTED OFFICERS ($ mil.),PUBLIC SAFETY ($ mil.),BUS & PROFESSION REGULATION ($ mil.),MEDICAID ($ mil.),CAPITAL IMPROVEMENT ($ mil.),OTHER DEPARTMENTS ($ mil.),OTHER BOARDS & COMMISSIONS ($ mil.),K-12 EDUCATION ($ mil.),UNIVERSITY EDUCATION ($ mil.),DEBT SERVICE ($ mil.),STATE EMPLOYEE HEALTHCARE ($ mil.),STATE PENSION CONTRIBUTION ($ mil.),LOCAL GOVT REVENUE SHARE ($ mil.),Total
2014,993.4350903,70.74631407,763.4169511,1129.142449,1051.761272,252.0553632,1348.791363,251.0855474,5580.931945,429.0173505,456.8101553,449.5680899,4283.690679,457.7774251,1423.405121,382.6084604,610.827725,96.26091303,372.9775046,740.8377722,821.5494017,248.6413475,15189.78782,734.4596347,721.5155412,259.3791623,8978.567428,1343.764301,1920.016563,2213.944679,6360.626878,6030.581296,65967.98154
2015,1031.825371,68.20086352,719.7689386,1117.864779,993.7598186,289.2614041,1379.523272,218.4943868,5854.057564,372.9391994,395.8083649,416.1482809,4342.81997,617.4246994,1894.399066,381.3217456,559.7657178,90.72505298,396.516186,797.2516847,767.9256614,253.7687367,16913.59457,746.973393,1085.316157,238.8229561,8903.383793,1308.47183,2014.555685,2070.402881,6458.718492,6283.477936,68983.28846
2016,710.2571971,53.53148154,582.7328666,1086.914774,512.513234,154.1531244,948.6719771,205.4027423,5016.562413,298.956026,337.2283249,388.0329985,4142.296499,793.0694226,2245.996018,115.6317222,363.1286253,88.46375525,387.3393355,685.3361676,720.5042003,172.6131275,17034.82557,88.25932787,668.8927385,202.264745,9331.024534,386.3674423,1906.003409,118.2317955,7059.843506,6231.736055,63036.78516
2017,1256.033837,67.34505126,1011.651196,1076.271154,649.2998036,211.2365655,1273.921874,193.98612,5364.222879,332.4710857,362.8934435,467.1680957,3998.474841,902.4549493,1763.575856,430.7858068,692.5199561,88.74767435,421.1031135,724.9519562,811.6430917,143.2112153,17852.95398,251.1710806,731.0920137,208.0463048,9755.431484,1264.990382,1851.635921,2974.100596,7276.453889,6459.741652,70869.58687
2018,953.7174585,82.31311241,866.6022961,1084.822275,498.3843292,234.273757,1943.429249,236.5114262,5388.711367,362.8834898,369.436179,500.1181051,3388.603503,885.6286931,1467.507588,341.5868644,562.1501973,89.44913764,429.7366943,829.7824256,884.9792587,135.7676662,18587.36222,220.0239066,930.6873074,208.4477629,10456.3394,1096.448197,1970.694561,5513.877837,7401.75645,6180.916913,74102.94963
2019,987.4867502,73.17271366,810.136721,1153.127364,576.2422492,259.5797608,1576.910773,221.3663779,5576.348239,444.4029186,425.5805332,575.2379212,3229.262688,819.8846298,1751.064905,352.6382343,557.7862194,93.31638166,415.2140491,910.5507096,996.9261706,139.113429,19025.87601,252.5875818,806.7527198,218.2356751,10634.96582,1145.984606,2052.340781,2806.447614,8117.077295,6520.184246,73525.80209
2020,1064.752387,69.84306326,1028.933217,1238.584972,620.2182537,255.1915978,1532.444671,236.5293103,5948.551557,298.3611368,547.7639037,1101.17549,3848.778089,697.349503,1917.633221,393.1426386,603.654829,101.2414353,476.8311365,874.8798383,1471.086436,137.6157714,22289.4054,303.6479327,631.7622115,199.391034,11303.71132,1201.370224,1947.227651,2632.565582,8915.738383,6455.385901,80344.7681
2021,1143.214598,64.27823297,1191.345937,1303.118456,1897.141468,264.2766834,1609.279264,327.4072411,6497.945389,336.0132258,930.7942377,1651.323634,5093.953816,650.8006415,1963.239372,407.2363841,574.2020228,105.9627013,517.4723999,921.005179,1989.234507,139.0944933,26277.16958,448.8024615,871.7538372,235.173518,12177.2171,1222.561382,2026.260501,2467.243848,9497.117108,7178.371065,91980.01028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATA OUTPUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,AGING ($ mil.),AGRICULTURE ($ mil.),CENTRAL MANAGEMENT ($ mil.),CHILDREN AND FAMILY SERVICES ($ mil.),COMMERCE AND ECONOMIC OPPORTUNITY ($ mil.),NATURAL RESOURCES ($ mil.),CORRECTIONS ($ mil.),EMPLOYMENT SECURITY ($ mil.),"HUMAN SERVICES, DEPT OF ($ mil.)",HEALTHCARE & FAM SER NET OF MEDICAID ($ mil.),PUBLIC HEALTH ($ mil.),REVENUE ($ mil.),TRANSPORTATION ($ mil.),ENVIRONMENTAL PROTECT AGENCY ($ mil.),IL STATE TOLL HIGHWAY AUTH ($ mil.),IL COMMUNITY COLLEGE BOARD ($ mil.),IL STUDENT ASSISTANCE COMM ($ mil.),LEGISLATIVE ($ mil.),JUDICIAL ($ mil.),ELECTED OFFICERS ($ mil.),PUBLIC SAFETY ($ mil.),BUS & PROFESSION REGULATION ($ mil.),MEDICAID,CAPITAL IMPROVEMENT ($ mil.),OTHER DEPARTMENTS ($ mil.),OTHER BOARDS & COMMISSIONS ($ mil.),K-12 EDUCATION ($ mil.),UNIVERSITY EDUCATION ($ mil.),DEBT SERVICE ($ mil.),STATE EMPLOYEE HEALTHCARE ($ mil.),STATE PENSION CONTRIBUTION ($ mil.),LOCAL GOVT REVENUE SHARE ($ mil.),Total
2021,1143,64,1191,1303,1897,264,1609,327,6498,336,931,1685,5094,651,1963,407,574,106,517,921,1989,143,26277,449,872,235,12177,1223,2026,2467,9497,7178,92014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Difference,0,0,0,0,0,0,0,0,0,0,0,-33,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,-33.98971543
